Key,nm,en,ru,nml
GAME, Set Sail for Booty!,Game,Игра,Serious Button for Serious Gamers 🎮
GRAPHIC, Eye of the Kraken View,Graphic,Графика,Make It Pretty or Potato 🥔💻
SOUND, Shiver Me Timbers' Tunes,Sound,Звук,Boom Boom Tweak Zone 🔊💥
MASTER, Captain's Command of Clamor,Master,Общий,
SOUND_EFFECTS, Parrot Squawks & Cannon Blasts,Sound Effects,Звуковые Эффекты,
MUSIC, Yo Ho Ho & a Bottle o' Beats,Music,Музыка,
LANGUAGE, Speak Like a Swashbuckler,Language,Язык,
FULLSCREEN, All-Encompassin' Horizon,Fullscreen,Полный Экран,
WINDOW_RES, Porthole View Size,Window Resolution,Разрешение Экрана,
FRAME_RATE, How Smooth Yer Plank Walkin' Be,Frame Rate,Частота Кадров,
VSYNC, No Tides on Yer Screen,Vertical Sync,Вертикальная Синронизация,
WINDOW, Peepin' Through a Spyglass,Window,Экран,Tiny Box or Epic Screen? 🖼️💡
EXIT, Abandon Ship!,Exit,Выход,Rage Quit Here 🚪🔥
NO_LIMIT, Set Loose the Kraken!,No Limit,Без ограничений,
ON, Aye, She Blows!,Вкл,
OFF, Batten Down the Hatches!,Off,Выкл,
CONTROLS, The Helm & Rudder,Controls,Управление,Because Mashing Keys Randomly Ain’t Strategy ⌨️
RESET_CONTROLS, Mutiny on the Buttons,Reset Controls,Сбросить Управление,Oops! Undo My Genius Layout ↩️🧠
KEYS, Yer Secret Stash o' Commands,Key Configuration,Настройки Кнопок,The Button Buffet 🧂⌨️
ENTER_NEW_KEY, Buried a New Treasure,Enter New Key,Нажмите Новую Кнопку,
GANDU, X Marks the Spot o' Trouble,,,Launch the Chaos 🚀🎲
Start_Game, Weigh Anchor!,,,Let It All Fade to Black 🎭🕳
End_Game, Return to Port,,,
